Office_ID,SOL_ID_BO_ID,PLI_ID,Office_Name,AO_office_ID,AO_Name,Sub_Division_ID,Sub_Division,Division id,Division,Circle_ID,Circle_Name,office_type_code,net target,Accounts_opened
17100223,M6342,HR010238015,UDAIPUR B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100201,M6341,HR010238014,SEGTI B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100200,M6340,HR010238013,SAUNTA B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100168,M6339,HR010238016,NANEOLA B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100163,M6338,HR010238012,NAGGAL B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100150,M6337,HR010238011,MATHERI SEIKHAN,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100110,M6336,HR010238010,Kathgarh Chhappar B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100092,M6335,HR010238008,Jansui B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100090,M6334,HR010238007,Jalbera B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100061,M6333,HR010238006,Dhurkara B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100051,M6332,HR010238005,Danipur B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100044,M6331,HR010238004,Chaurmastpur B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100040,M6330,HR010238009,Budhangpur B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100028,M6329,HR010238003,Bhanokheri B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100015,M6328,HR010238001,Ballana B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100011,M6327,HR010238002,Baknaur B.O,17660024,Durga Nagar S.O,17640001,Ambala City Sub- Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100221,M0023,HR010202007,Toda B.O,17660038,Jatwar S.O,17640003,Panchkula Sub Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100178,M0022,HR010202006,Patwi B.O,17660038,Jatwar S.O,17640003,Panchkula Sub Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
17100169,M0021,HR010202005,Nasrauli B.O,17660038,Jatwar S.O,17640003,Panchkula Sub Division,17530001,Ambala Division,17300001,Haryana Circle,BPO,600,
