Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Adhoya S.O,13320501,,3.0,4.0,2.0,9.0,,21.0,2.0,48.0,,,2.0,
Adhoyi B.O,I1895,Adhoya S.O,,,,,,,,7.0,,,,
Akbarpur B.O,E6739,Naraingarh S.O,,,,,,1.0,,,,,,
Alhar B.O,I4674,Radaur S.O,,,2.0,4.0,,5.0,,1.0,,,,
Alipur Jahangir B.O,L4928,Dhin S.O,,,,,,,,4.0,,,,
Amadalpur B.O,I3760,Buriya S.O,,,1.0,1.0,,5.0,,18.0,,,,
Ambala  City Kucthery S.O,13400302,,6.0,3.0,4.0,33.0,,12.0,24.0,47.0,,1.0,12.0,
Ambala City H.O,13400300,,54.0,5.0,13.0,105.0,,51.0,25.0,224.0,,22.0,89.0,
Ambala G.P.O.,13300100,,106.0,12.0,21.0,81.0,,105.0,55.0,571.0,,24.0,169.0,
Ambli B.O,A4738,Naraingarh S.O,,,7.0,6.0,,9.0,,5.0,,,,
Amravati  Enclave SO,13410501,,4.0,1.0,4.0,12.0,,11.0,7.0,6.0,,4.0,12.0,
Anaj Mandi S.O (Ambala),13400303,,2.0,,7.0,48.0,,32.0,11.0,48.0,,2.0,18.0,
Aurangabad B.O,C3780,Jagdhari Work Shop S.O,,,4.0,1.0,,5.0,,,,,,
Azizpur B.O,A7315,Sarawan S.O,,,1.0,2.0,,4.0,,1.0,,,,
B.C.W. Suraj Pur S.O,13330101,,1.0,2.0,6.0,5.0,,12.0,2.0,27.0,,2.0,,
Babyal S.O,13300501,,5.0,,6.0,11.0,,21.0,3.0,39.0,,2.0,11.0,
Bakana B.O,I4675,Radaur S.O,,,1.0,,,2.0,,11.0,,,,
Bakarwala B.O,L7175,Partap Nagar S.O,,,,,,4.0,,13.0,,,,
Baknaur B.O,M6327,Durga Nagar S.O,,,,,,4.0,,6.0,,,,
Balachaur B.O,J7326,Chhachrauli S.O,,,4.0,,,4.0,,,,,,
Baladwala BO,AP186,Raipur Rani S.O,,,1.0,,,5.0,,,,,,
Balchhapar B.O,A6103,Jagadhri S.O,,,2.0,3.0,,5.0,,1.0,,,,
Baldev Nagar S.O,13400701,,12.0,2.0,7.0,66.0,0.0,37.0,4.0,112.0,,20.0,19.0,
Ballana B.O,M6328,Durga Nagar S.O,,,,1.0,,,,,,,,
Banidi B.O,I4676,Radaur S.O,,,5.0,2.0,,4.0,,12.0,,,,
Bapa B.O,I4677,Radaur S.O,,,1.0,,,,,4.0,,,,
Baragaon B.O,B3218,Naraingarh S.O,,,1.0,12.0,,5.0,,,,,,
Barara S.O,13320101,,8.0,1.0,11.0,43.0,,39.0,9.0,143.0,,12.0,12.0,
Baraula B.O,B6562,Majri S.O,,,,3.0,,1.0,,7.0,,,,
Barsan B.O,I4678,Radaur S.O,,,,,,,,2.0,,,,
Barwala S.O (Panchkula),13411801,,2.0,6.0,9.0,112.0,,37.0,2.0,61.0,,1.0,20.0,
Basatianwala B.O,G9892,Bilaspur (Yamunanagar) S.O,,,2.0,2.0,,2.0,,4.0,,,,
Basolan B.O,I3638,Pinjore S.O,,,1.0,3.0,,,,,,,,
Bazar Basti Ram S.O,13400304,,13.0,1.0,2.0,32.0,,2.0,8.0,76.0,,7.0,24.0,
Benaundi B.O,J9666,Shahzadpur S.O.,,,,4.0,,7.0,,8.0,,,,
Bhadauli B.O,G3613,Naraingarh S.O,,,3.0,2.0,,4.0,,2.0,,,,
Bhagu Majra B.O,I4679,Radaur S.O,,,2.0,30.0,,1.0,,,,,,
Bhambol B.O,L4393,Saraswati Nagar S.O,,,3.0,,1.0,4.0,,9.0,,,,
Bhanokheri B.O,M6329,Durga Nagar S.O,,,3.0,6.0,,1.0,,2.0,,,,
Bhareli B.O,I5065,Barwala S.O (Panchkula),,,1.0,1.0,,,,4.0,,,,
Bhareri Kalan B.O,G3614,Naraingarh S.O,,,1.0,1.0,,5.0,,3.0,,,,
Bharog B.O,M0017,Jatwar S.O,,,,2.0,,4.0,,4.0,,,,
Bhatia Nagar S.O,13500101,,27.0,1.0,3.0,82.0,,38.0,12.0,157.0,,8.0,56.0,
Bherthal B.O,A6104,Jagadhri S.O,,,1.0,1.0,,5.0,,4.0,,,,
Bhudkalan S.O,13510601,,,,0.0,5.0,,4.0,,5.0,,1.0,1.0,
Bhurewala B.O,E6740,Naraingarh S.O,,,3.0,34.0,,8.0,,12.0,,,,
Bihta S.O (Ambala),13310101,,2.0,,5.0,6.0,,9.0,1.0,20.0,,,4.0,
Bilaspur (Yamunanagar) S.O,13510201,,5.0,,9.0,64.0,,38.0,3.0,120.0,,6.0,12.0,
Bilauli B.O,J7327,Chhachrauli S.O,,,3.0,6.0,,5.0,,6.0,,,,
Billa B.O,I5066,Barwala S.O (Panchkula),,,2.0,,,,,1.0,,,,
Binjalpur B.O,F7637,Sarawan S.O,,,1.0,2.0,,6.0,,6.0,,,,
Boh B.O,C4406,Defence Colony S.O,,,2.0,5.0,,6.0,,5.0,,,,
Bubka B.O,I4680,Radaur S.O,,,1.0,18.0,,1.0,,,,,,
Budhangpur B.O,M6330,Durga Nagar S.O,,,,1.0,,2.0,,3.0,,,,
Buriya S.O,13510101,,2.0,,11.0,38.0,,32.0,6.0,66.0,,6.0,8.0,
C.R.P.F. Pinjore S.O,13410401,,1.0,,9.0,11.0,,11.0,6.0,15.0,,,,
Cagnoli B.O,G9893,Bilaspur (Yamunanagar) S.O,,,,1.0,,2.0,,,,,,
Chamrori B.O,I4681,Radaur S.O,,,,,,3.0,,7.0,,,,
Chandi Mandir Cantt S.O,13410701,,13.0,2.0,1.0,9.0,,6.0,,5.0,,,1.0,
Chandi Mandir S.O,13410702,,1.0,1.0,1.0,13.0,,5.0,,6.0,,,13.0,
Chauli B.O,G9894,Bilaspur (Yamunanagar) S.O,,,7.0,,,,,1.0,,,,
Chaurmastpur B.O,M6331,Durga Nagar S.O,,,4.0,1.0,,1.0,,2.0,,,,
Chhachrauli S.O,13510301,,6.0,1.0,13.0,65.0,,43.0,14.0,210.0,,4.0,14.0,
Chhappar B.O,L4394,Saraswati Nagar S.O,,,1.0,26.0,,5.0,,2.0,,,,
Chiken B.O,I3639,Pinjore S.O,,,,,,1.0,,,,,,
Chudiala B.O,J7217,Kesri S.O,,,2.0,3.0,,2.0,,3.0,,,,
Commissioner Court S.O,13300102,,4.0,,2.0,12.0,,4.0,7.0,18.0,,,1.0,
D.A.V.College S.O,13400305,,11.0,4.0,2.0,7.0,,9.0,5.0,49.0,,2.0,33.0,
Dadupur B.O,G5048,Jagadhri S.O,,,2.0,6.0,,,,,,,,
Damaloan B.O,I3640,Pinjore S.O,,,1.0,2.0,,2.0,,,,,,
Damla B.O,D2044,Jagdhari Work Shop S.O,,,4.0,1.0,,3.0,,3.0,,,,
Danipur B.O,M6332,Durga Nagar S.O,,,1.0,,,,,,,,,
Darpur B.O,J7328,Chhachrauli S.O,,,,3.0,,7.0,,,,,,
Dayalgarh B.O,G9895,Bilaspur (Yamunanagar) S.O,,,2.0,2.0,,1.0,,1.0,,,,
Defence Colony S.O,13301001,,8.0,3.0,2.0,9.0,,13.0,2.0,19.0,,2.0,1.0,
Deodhar B.O,L7176,Partap Nagar S.O,,,,2.0,,3.0,,15.0,,,,
Derasalimpur B.O,I1907,Barara S.O,,,2.0,3.0,,1.0,,5.0,,,,
Devi Nagar B.O,A6320,Panchkula Sector 8 S.O,,,,2.0,,,,,,,,
Dhanana B.O,M0018,Jatwar S.O,,,1.0,,,1.0,,,,,,
